problem_id,source,mode,sample_idx,is_defeasible,is_monotonic,is_intensional,n_new_rules,n_defeasible_rules,n_contrary_rules,valid,generalises
nixon_diamond_anon,symbolic,,-1,True,False,True,3,2,2,True,True
flies_anon,symbolic,,-1,True,False,True,2,1,1,True,True
tax_law_anon,symbolic,,-1,True,False,True,4,3,2,True,True
t1_mono_0000_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0001_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0002_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0003_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0004_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0005_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0006_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0007_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0008_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0009_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0010_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0011_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0012_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0013_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0014_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0015_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0016_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0017_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0018_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t1_mono_0019_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t2_defeas_0000_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0001_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0002_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0003_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0004_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0005_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0006_anon,symbolic,,-1,True,False,True,3,1,1,True,True
t2_defeas_0007_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0008_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0009_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0010_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0011_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0012_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0013_anon,symbolic,,-1,False,True,True,1,0,0,True,True
t2_defeas_0014_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0015_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0016_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0017_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0018_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t2_defeas_0019_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t3_noise_0000_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t3_noise_0001_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t3_noise_0002_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t3_noise_0003_anon,symbolic,,-1,True,False,True,3,1,1,True,True
t3_noise_0004_anon,symbolic,,-1,True,False,True,2,1,1,True,True
t3_noise_0005_anon,symbolic,,-1,True,False,True,2,1,1,True,True
